datetime,search_config,query_set_id,query,metric,value
2024-06-30,research_1,sampled_queries,pegatinas sm,dcg,1.0
2024-06-30,research_1,sampled_queries,peru travel adapter,dcg,0.0
2024-06-30,research_1,sampled_queries,picture room,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,pillow for sleeping,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,pin to hold wedding invitations together,dcg,1.0452840130309937
2024-06-30,research_1,sampled_queries,plastic kiddie pool for dogs,dcg,1.0
2024-06-30,research_1,sampled_queries,plus size tunics for women 3x,dcg,1.0
2024-06-30,research_1,sampled_queries,poppy seeds,dcg,0.0
2024-06-30,research_1,sampled_queries,pork,dcg,1.0
2024-06-30,research_1,sampled_queries,princess revlon,dcg,0.1170574755672868
2024-06-30,research_1,sampled_queries,projecting night light for kids,dcg,0.0
2024-06-30,research_1,sampled_queries,pure bite,dcg,1.0
2024-06-30,research_1,sampled_queries,queen size linen duvet cover,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,rachel ashwell swaddle,dcg,1.0
2024-06-30,research_1,sampled_queries,razer wireless mouse,dcg,1.0
2024-06-30,research_1,sampled_queries,rectaluse only medical stickers,dcg,0.6309297535714575
2024-06-30,research_1,sampled_queries,red casual dress,dcg,1.0
2024-06-30,research_1,sampled_queries,rocco skinny jean,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,rotuladores,dcg,1.0
2024-06-30,research_1,sampled_queries,runner hex dumbells,dcg,0.0
2024-06-30,research_1,sampled_queries,shakespeare,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,showa gloves waterproof,dcg,1.0
2024-06-30,research_1,sampled_queries,sig p365 owb holsters,dcg,1.0
2024-06-30,research_1,sampled_queries,silla amarilla terraza,dcg,1.0
